Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
53.17,17.7241,12.4143,0.109905201894825,-0.474315391349612,35.4482,-47.4315391349612
53.18,17.7275,12.4152,0.109917053300579,-0.47425743104503,35.455,-47.425743104503
53.19,17.7309,12.4152,0.109930135891312,-0.474193449199698,35.4618,-47.4193449199698
53.2,17.7342,12.4134,0.109944468236718,-0.474123354899055,35.4684,-47.4123354899055
53.21,17.7375,12.4137,0.109952906691194,-0.474082085288077,35.475,-47.4082085288077
53.22,17.7408,12.4153,0.10997935447129,-0.473952737267562,35.4816,-47.3952737267562
53.23,17.744,12.4158,0.109989109285993,-0.473905029092849,35.488,-47.3905029092849
53.24,17.7473,12.4159,0.110006118011888,-0.473821843534481,35.4946,-47.3821843534481
53.25,17.7506,12.4162,0.110012467818059,-0.473790788022248,35.5012,-47.3790788022248
53.26,17.7538,12.4163,0.110025975946267,-0.473724722455356,35.5076,-47.3724722455356
53.27,17.7571,12.4167,0.110032319719312,-0.473693696197873,35.5142,-47.3693696197873
53.28,17.7603,12.4186,0.110048191465725,-0.47361606997691,35.5206,-47.361606997691
53.29,17.7637,12.4208,0.110056897751473,-0.473573488685566,35.5274,-47.3573488685566
53.3,17.7671,12.4217,0.110077586243502,-0.473472303400858,35.5342,-47.3472303400858
53.31,17.7705,12.4224,0.110082823116237,-0.473446690259631,35.541,-47.3446690259631
53.32,17.774,12.422,0.110098867326469,-0.473368218921539,35.548,-47.3368218921538
53.33,17.7773,12.4224,0.110110203403705,-0.473312774489088,35.5546,-47.3312774489088
53.34,17.7807,12.422,0.110126365715554,-0.473233724635401,35.5614,-47.3233724635401
53.35,17.7841,12.4223,0.110135384561279,-0.473189613241376,35.5682,-47.3189613241376
53.36,17.7875,12.4232,0.11014804950698,-0.473127668408902,35.575,-47.3127668408902
53.37,17.7907,12.4248,0.110149979167973,-0.473118230319977,35.5814,-47.3118230319977
53.38,17.794,12.4267,0.110161549705255,-0.473061637964312,35.588,-47.3061637964312
53.39,17.7973,12.4285,0.110177994250526,-0.472981206013411,35.5946,-47.2981206013411
53.4,17.8006,12.4283,0.110195707967989,-0.472894565806428,35.6012,-47.2894565806428
53.41,17.804,12.4281,0.110207528276521,-0.472836750716766,35.608,-47.2836750716765
53.42,17.8073,12.4285,0.110215814580474,-0.472796220863024,35.6146,-47.2796220863024
53.43,17.8104,12.4283,0.110230104888174,-0.472726323987602,35.6208,-47.2726323987602
53.44,17.8138,12.4268,0.110239680974509,-0.472679485123479,35.6276,-47.2679485123479
53.45,17.8169,12.4255,0.110251665563233,-0.472620865455872,35.6338,-47.2620865455872
53.46,17.8202,12.4272,0.110264911913276,-0.472556073858836,35.6404,-47.2556073858836
53.47,17.8236,12.4296,0.110285382862104,-0.472455944041267,35.6472,-47.2455944041267
